id_servidor;home_broker;timestamp;cpu_percent;cpu_freq_current;cpu_time_idle;ram_total_gb;ram_available_gb;ram_used_gb;ram_percent;swap_percent;swap_used_gb;swap_free_gb;disk_percent;disco_taxa_transferencia;latencia_resposta_ms;net_bytes_sent_gb;net_bytes_recv_gb;total_processos;processo_maior_consumo;metodo;endpoint;status_code;latencia_ms
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;POST;/api/risk/check;500;700
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;POST;/api/b3/orders;200;400
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;GET;/api/account/balance;200;500
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;GET;/api/quotes/VALE3;503;350
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;POST;/api/auth/login;505;2500
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;POST;/api/risk/check;500;700
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;GET;/api/portfolio;503;600
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;GET;/api/portfolio;503;600
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;GET;/api/b3/session-status;503;85
4;luiz;18-05-2026 20:41:41;1.8;1201.68;96.8;13.34;4.57;8.77;65.7;0.0;0.0;2.0;66.1;0.02;135.0;0.13;0.16;561;python3 (PID: 15357) - 21.7%;POST;/api/auth/logout;503;80
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;DELETE;/api/orders/cancel;503;160
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;GET;/api/quotes/PETR4;504;1400
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;POST;/api/risk/check;500;700
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;GET;/api/trades/summary;500;110
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;GET;/api/portfolio/performance;500;70
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;POST;/api/risk/check;500;700
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;GET;/api/portfolio;503;600
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;GET;/api/account/balance;200;500
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;POST;/api/orders/validate;504;170
4;luiz;18-05-2026 20:41:49;0.9;1242.47;98.1;13.34;4.58;8.75;65.6;0.0;0.0;2.0;66.1;0.0;52.7;0.13;0.16;562;python3 (PID: 15357) - 29.1%;GET;/api/trades/summary;500;110
