id_servidor;home_broker;timestamp;cpu_percent;cpu_freq_current;cpu_time_idle;ram_total_gb;ram_available_gb;ram_used_gb;ram_percent;swap_percent;swap_used_gb;swap_free_gb;disk_percent;disco_taxa_transferencia;latencia_resposta_ms;net_bytes_sent_gb;net_bytes_recv_gb;total_processos;processo_maior_consumo;metodo;endpoint;status_code;latencia_ms
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:41;1.8;1.2;;;;8.77;65.7;;;;66.1;;138240.0;;;;python3 (PID: 15357) - 21.7%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
4;luiz;18-05-2026 20:41:49;0.9;1.24;;;;8.75;65.6;;;;66.1;;53964.8;;;;python3 (PID: 15357) - 29.1%;;;;
