id_servidor;home_broker;timestamp;metodo;endpoint;status_code;latencia_ms;categoria
4;luiz;18-05-2026 20:41:41;POST;/api/risk/check;500;700;trades
4;luiz;18-05-2026 20:41:41;POST;/api/b3/orders;200;400;ordens
4;luiz;18-05-2026 20:41:41;GET;/api/account/balance;200;500;financeiro
4;luiz;18-05-2026 20:41:41;GET;/api/quotes/VALE3;503;350;trades
4;luiz;18-05-2026 20:41:41;POST;/api/auth/login;505;2500;trades
4;luiz;18-05-2026 20:41:41;POST;/api/risk/check;500;700;trades
4;luiz;18-05-2026 20:41:41;GET;/api/portfolio;503;600;trades
4;luiz;18-05-2026 20:41:41;GET;/api/portfolio;503;600;trades
4;luiz;18-05-2026 20:41:41;GET;/api/b3/session-status;503;85;b3
4;luiz;18-05-2026 20:41:41;POST;/api/auth/logout;503;80;trades
4;luiz;18-05-2026 20:41:49;DELETE;/api/orders/cancel;503;160;ordens
4;luiz;18-05-2026 20:41:49;GET;/api/quotes/PETR4;504;1400;trades
4;luiz;18-05-2026 20:41:49;POST;/api/risk/check;500;700;trades
4;luiz;18-05-2026 20:41:49;GET;/api/trades/summary;500;110;trades
4;luiz;18-05-2026 20:41:49;GET;/api/portfolio/performance;500;70;trades
4;luiz;18-05-2026 20:41:49;POST;/api/risk/check;500;700;trades
4;luiz;18-05-2026 20:41:49;GET;/api/portfolio;503;600;trades
4;luiz;18-05-2026 20:41:49;GET;/api/account/balance;200;500;financeiro
4;luiz;18-05-2026 20:41:49;POST;/api/orders/validate;504;170;ordens
4;luiz;18-05-2026 20:41:49;GET;/api/trades/summary;500;110;trades
