id_servidor;fk_empresa;home_broker;timestamp;cpu_percent;cpu_freq_current;cpu_time_idle;ram_total_gb;ram_available_gb;ram_used_gb;ram_percent;swap_percent;swap_used_gb;swap_free_gb;disk_percent;disco_taxa_transferencia;latencia_resposta_ms;net_bytes_sent_gb;net_bytes_recv_gb;total_processos;processo_maior_consumo;metodo;endpoint;status_code;latencia_ms;jitter_ms;packet_loss_percent;upload_mbps;download_mbps
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/trades/summary;200;950;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/trades;200;95;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/trades;200;95;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/trades/summary;200;950;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;POST;/api/deposits;504;4200;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/market/orderbook/PETR4;500;5000;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;POST;/api/risk/check;503;130;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/trades/summary;200;950;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;GET;/api/portfolio;200;3400;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:13;10.6;2367.66;87.3;13.34;4.04;9.3;69.7;4.7;0.09;1.91;66.2;1.54;3.36;192.33;322.22;628;python3 (PID: 26902) - 23.1%;POST;/api/b3/orders;504;3500;0.96;0.0;0.0899;0.9511
4;2;luiz;20-05-2026 11:07:25;3.5;1681.16;91.5;13.34;3.79;9.55;71.6;5.8;0.12;1.88;66.2;0.86;6.52;193.85;326.99;629;chrome (PID: 16347) - 122.4%;POST;/api/deposits;504;4200;6.87;0.0;0.0237;0.0141
4;2;luiz;20-05-2026 11:07:25;3.5;1681.16;91.5;13.34;3.79;9.55;71.6;5.8;0.12;1.88;66.2;0.86;6.52;193.85;326.99;629;chrome (PID: 16347) - 122.4%;GET;/api/portfolio;200;3400;6.87;0.0;0.0237;0.0141
