fk_empresa;id_servidor;home_broker;timestamp;cpu_percent;cpu_freq_current;cpu_time_idle;ram_total_gb;ram_available_gb;ram_used_gb;ram_percent;swap_percent;swap_used_gb;swap_free_gb;disk_percent;disco_taxa_transferencia;latencia_resposta_ms;net_bytes_sent_gb;net_bytes_recv_gb;total_processos;processo_maior_consumo;metodo;endpoint;status_code;latencia_ms;jitter_ms;packet_loss_percent;upload_mbps;download_mbps
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:30:46;;;;;;;;;;;71.5;;;;;;python.exe (PID: 22432) - 81.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:03;;;;;;;;;;;71.6;;;;;;python.exe (PID: 22432) - 86.7%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:18;;;;;;;;;;;71.7;;;;;;RainbowSix.exe (PID: 9332) - 448.9%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
;3;SRV-DTIC-PROD;20-05-2026 20:31:37;;;;;;;;;;;71.8;;;;;;RainbowSix.exe (PID: 9332) - 389.8%;;;;;;;;
