id_servidor;home_broker;timestamp;cpu_percent;cpu_freq_current;cpu_time_idle;ram_total_gb;ram_available_gb;ram_used_gb;ram_percent;swap_percent;swap_used_gb;swap_free_gb;disk_percent;disco_taxa_transferencia;latencia_resposta_ms;net_bytes_sent_gb;net_bytes_recv_gb;total_processos;processo_maior_consumo;metodo;endpoint;status_code;latencia_ms
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;GET;/api/trades;500;2400
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;POST;/api/orders/sell;501;5000
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;POST;/api/b3/orders;200;6000
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;GET;/api/portfolio;200;3400
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;POST;/api/auth/logout;504;3200
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;GET;/api/market/orderbook/PETR4;500;3200
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;POST;/api/orders/buy;504;2800
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;DELETE;/api/orders/cancel;504;2600
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;POST;/api/b3/orders;200;6000
4;luiz;16-05-2026 14:01:10;6.0;2304.0;93.7;15.78;0.94;14.85;94.1;13.1;1.25;8.25;79.5;0.2;8.0;0.06;0.12;203;python.exe (PID: 3700) - 49.7%;GET;/api/quotes/PETR4;504;1400
