id_servidor;fk_empresa;home_broker;cpu_percent;ram_total_gb;ram_used_gb;disk_percent;ram_percent;timestamp
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;52.8;15.93;15.26;71.5;95.8;2026-05-20 20:30:46
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;53.2;15.93;15.19;71.6;95.3;2026-05-20 20:31:03
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;38.0;15.93;15.11;71.7;94.9;2026-05-20 20:31:18
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;70.3;15.93;15.48;71.8;97.1;2026-05-20 20:31:37
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;95.3;15.93;15.43;73.1;96.8;2026-05-20 20:31:55
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;54.1;15.93;15.26;73.2;95.8;2026-05-20 20:32:10
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;76.0;15.93;15.17;73.3;95.2;2026-05-20 20:32:26
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
3;2;SRV-DTIC-PROD;64.3;15.93;15.4;73.5;96.7;2026-05-20 20:32:44
